Comment,Toxicity,Type,target
القم يعلمكم انا الله حق تمسخروو على البارسا القم,1,1,1
انا برشلوني بالله ادارت برشلونة احسن وله ادارت منشستر يونايتد الاثنين خره بس مين اخره من الثاني,0,,
بكد ما تكلمت عن ليفربول وانهم شايلين الفريق جابو العيد ه شالو,0,,
ألقم يا راعي البلنتيات,1,1,1
يتليتك لبست فنلتك الي تخسر فيها,0,,
لا تعايرني ولا اعايرك الهم طايلني وطايلك  ليفر بولي,0,,
المقطع كامل وهو قايلكم وقايلكم ما قلتلكم,0,,
شفت ياجلوري طقطقةعلى برشلونه اليونايتد بلع ه,0,,
سوي رده فعل على تيليس و كافاني,0,,
مبروك كفاني و تليس,0,,
والله ما الومك تكمل الفريق رايح فيها,0,,
الله يكون بعونك,0,,
اذا توتنهام كذا شلون باريس,0,,
انا دخلت اشوف ردت فعل جلوريحزنتي جلوري,0,,
دفاع مرة تعبان,0,,
القم ٦,1,1,1
انت قلت في ليفربول ماعندهم الا هندرسون بس عندهم الظهير انقليزي,0,,
لو حصلت الايكيناحس نفسي مشهور,0,,
الله يساعدك على اللي قاعد تسويه انك تفرحنا بردة فعلك بس غلى الاقل كملت حتى لقمتوا السادس,0,,
"فجعتني يارجل  ه  
هدي وروق وخذ  لايك للمقطع",0,,
القمو يالمشستراوين,1,1,1
صحتك اهم ا ولله متخفش معذور كل راح تحكي عن اليونايتد فانت معذور,0,,
خلطوكم و لعبة بيكم صح  ه ه وصفوها لجلوري ه,1,1,1
رحمت قلوري,0,,
عوافي يا جلوري,0,,
"انصحك شجع الهجر احسن من اليونايتد 
 مزح",0,,
ابلع حتة بعد متحجي ع برشة,1,1,1
اه يا ليفربول اه,0,,
والله انك اسطوره ايلافيو,0,,
والله حسيت فيك,0,,
الله يعينكم والله,0,,
الله يعينك ف الأبطال,0,,
حرام يجيك كوربيات عشان تسب نادي زفت,0,,
التصحيح ليفربول عندو ألكسندر أرنولد الانجليزي ضهير,0,,
تتشمتون على برشلونة ها    هيا  ابلع  ومن الي تقولون عليه المترجم,1,1,1
هاي ليليلي يا ليلي هاهاي يلسليمان ارتراتراترة,0,,
المفروض نعتزل كورة,0,,
الي بعدوه ه,0,,
لا تشيل هم ترى حتى ليفربول لقم ٧,0,,
صارت سته,0,,
والله حرام مقوير يلعب لنا,0,,
اسمع انصحك تروح البايرن ميونخ شقينا البرشة ٨ ٠,0,,
لا يا حبيبي ليفربول عنده ارنولد انكليزي وعنده غوميز المدافع وعنده جمبرلين,0,,
ترا اليونايتد اتعاقد مع ٤ لعيبه سوي ردة فعل,0,,
الفرحه اخريتها زعل ونهايه,0,,
ابلع ابلع ه,0,,
ولهي اني ضحكت ضحك,0,,
ترا السادس جاي,0,,
القم القم,1,1,1
كش ما انشوف شني المن ناشر الفيديو الله يلعن الفيديو,1,1,1
معليك انا وصديقي مصطفى اللي القبة اداما تراوري الجديد لأنة مرة سريع بعد ما يعتزل ميسي راح نجي لليونايتد عشانك,0,,
يقصد ميسي بل بلنتيات,0,,
القم يهطف,1,1,1
فا دي بيك ما ادري كيف يكون ردة فعله,0,,
جلوري ابن عمي توتنهامي وقالك الجم,0,,
يعيال يعيال يعيال يعيال يعيال,0,,
المسكين ابتداها مصخرة على ناس تانية ما كان يدري انو بيبلعوا ٦ عل عينهم,1,1,1
احسن من ليفربول هـههـ,0,,
"لعبة اليونايتد مع باريس في دوري الأبطال لوك شاوماجوايربيساكا
ضد نيمارمبابيديماريا

يقولك عادل أمام سيغمى عليه من ورى المسرحيه التي ستحدث",0,,
القم جلوري اجل تقول للبرشلونين  ماتخايك تنام اليل القم,1,1,1
احمد ربك غيرك لقم,0,,
والله انا أقول تلحق نفسك وتشيل من قاموسك شي أسمه مان يونايتد خلاص يا أخي انت وش شفت في اليونايتد عشان تشجعه شيل أمهم خلاص لاتشجع أشجع سيلتا فيغو ولا أشجع  الحمير ذولا,0,,
الله على الهياطابلع  واسكت,1,1,1
قسم بالله انك صاير سامج,1,1,1
صاح صاح,0,,
و الله لقطتك بعد الهدف الأول تجيب الجلطة يا شيخ,0,,
هدي هدي يا جلوري,0,,
بلنتي من البداية والنهاية,0,,
مسكين والله الله يعين بس احلا شي نما تعصب وتسب,0,,
ليفربول  ما عنده ولا لاعب انجليزي ارنولد ايش ؟,0,,
قالها البلوشي اليونايتد في يد لاتفقه كرة القدم,0,,
يا جدعان ده دفاع الأهلي المصري والزمالك احسن من دفاع اليونايتد ه,0,,
"ولك ابلع 
وهذا الاعب الي ضيع جزاء
جلدكم  و",1,1,1
"ه مبروك
خساره يونايتد",0,,
اجل هات اللي بعدو هھ,0,,
راس مربعه,1,1,1
ايش الموقع الي تتابع فيه المباراه,0,,
على طول على طول يا حبيبي بعد عشر دقايق  ه,0,,
بدييت بهاات الي بعدوو  وانتهيت بنص درزن,0,,
تعالو صفو جنبنا يا يونايتد نحنا البرشلونيين,0,,
انتظر ردة فعلك من يومين,0,,
يقصد ميسي يوم يقول ضيع بطولات مع منتخب بسبب بلنتي ياحبيبي ميسي ٤ ابطال ناديك ٣ ابطال,0,,
مانشوف المباراه,0,,
المترجم عنفكم وعرفكم حجمكم,1,1,1
مرحبا اصدقائي انا قناتي بتعرض صنع اشياء رائعة في ماين كرافت بتمنى تشتركو فيها,0,,
انا إذ انجلت في فرتنايت وباقي اثنين في القيم,0,,
ه هدي هدي,0,,
صيح اي صيح,1,1,1
ازرط صار عندنا لعبيين مهريين اه,1,1,1
القم يا الدب يا كريه,1,2,1
سوال ياهو احسن دفاع برشلونه لو دفاع ماشستر,0,,
"يا فضيحتك يا جلوري على هالنتيجه
ملاحظه انا برشلوني استر على ما وجهت",0,,
انا اول ٣٠ساعا قلت بدي نام مباراه خرة,0,,
شنو تلمح,0,,
ه يا سق يابن سق  ماينفع عليك تعصب برضو شكلك يضحك,1,1,1
بس افرح ليفربول اكلوها بسباعيه,0,,
الإدارة معليه جاي تنطي افلوس وجيب لاعبين وجيب مدربين,0,,
سقوط مذل القادم افضل يا الريدز,0,,
ه ه,0,,
بيقول دفاع وحش ما يدرى ان الفريق كلو وحش,0,,
كنت اتمنى البايرن و اليونايتد في مجموعة وحده,0,,
مشترك جديد مفيه مراحب,0,,
يولد والله راح تجيب المرض السكر الضغط لنفسك لاتنرل لمباراه مانشستر يونايتد,0,,
افشل صفقه ماقوير وحسافة الفلوس الي عليها,0,,
مغواير دمرنه تف عليه و ع الي اطاه اشارة الكاتب و الله ياخذه ل وادورد الحيوان دمر نادي الكلب,0,,
هذا وهو اغلى مدافع,0,,
مايستاهل مارسيل احمر لان هاذاك الكلب ضرب اول ومتعمد ولا عطاه احمر,1,1,1
ياخي يطلع سبات من ذهب,0,,
لاستون  فيلا ضد ليفريول,0,,
امال لو فاعد تتفرج على ليفربول و هي بتخسر ٧,0,,
والله الله يعينكم هذي بدايته الموسم,0,,
ابلع بس,1,1,1
روح سجع برشلونه احسنلك,0,,
احسن عشان ما تتكلم على برشلونه,0,,
الله يعينك يعبد العزيز,0,,
قلوري تراك نسيت آرنولد و قوميز من اهم لاعبين الفريق ليفربول يعرفون يختارون الإنجليز,0,,
مود ترنت,0,,
اقسم بالله ما اشوف شي  مب واضح ابد,0,,
يارجال لأعد تشجع اليونايتد شجع ليفر بول,0,,
ردة فعل,0,,
سوي عا كافاني وبعدها عا ديست لاعب برشلونة الجديد,0,,
لقطة صالحة للميمز,0,,
رحمة الله من قرأ سورة الفاتحة لروح المرحوم مشستر يونايتد,0,,
ابلع هيه ابلع لا عاد تهايط ع برشلونة وميسي ابلع ابلع,1,1,1
تستاهل يا دب,1,1,1
ترى ليفربول عندو لاعبين انجليزيين مثل ارنولد و جوميز و هندرسون و شامبرلين واخرين,0,,
قول الحمد الله لأنكم تعقدتم مع مدافع اسطورة,0,,
افضل ردة فعل لقلوري,0,,
مستوى مستوى والله لو اننا نلعب ضد الاهلي ما جبنا ٦,0,,
لسسى ابغى اعدل لسسى بلنتي من البدايه القم  ي حب ه,1,1,1
في السادس,0,,
والله شخلوهم شخل,1,1,1
سبب الخسارة هو المدرب لأن مفلس تكتيكيآ وفاشل وبوغبا ضايع بالملعب لوك شاو حمار ومايغواير حمار الحنسه الوحيدة بالفريق برونو فيرنانديز,1,1,1
ابلع علشان فريقك يسجل فقط ركلات ترجيح,1,1,1
"نجاح ليفربول لأنه استطاع تسجيل هدفي شرف انت محق اما انتم فهدف شرفي واحد آه نسيت نفس الفارق 

ليفربول خسرت  

على الاقل برشلونة ضد البايرن مو استون فيلا و توتنهام",0,,
سعر لاعب الدفاع٨٠مليون تجيب دفاع جلاد شف ذا المدرب الكلب شف ليفربول شراءفان  وشف ذا,1,2,1
عوافي ياجلوري فيه ناس خسروا ٧٢ ضد نادي عادي,0,,
انت تقول مافي الا برونو يقاتل ترة برونو ما شفنا الا في ركلات الجزاء لا غير,0,,
"تضحكو على السيتي 
الغمو",0,,
والله و جانا تيليس و كافاني الي ما يسوى ريال,0,,
بدايه خير الله يستر,0,,
شوف الابتسامة بس,0,,
الدق اللي جاهم من باريس خلاهم يوقفون كذب الصحافه وفي يوم خلصو مع تاليس وكفاني ولاعب اتلانتا,0,,
ردة الفعل عبارة عن  قايلكم  ايش قلتلكم قبل شوي يا شباب,0,,
اللي حسب المايك ديد جلوري لا يحط لايك,1,1,1
شكلك بديت الڤيديو متحمس,0,,
تخيلو معي باريس بنيمار شو ديعملو بهالدفاع قريبا بالابطال,0,,
هاي الكساندر ارنولد,0,,
هات الي بعدوا يشيخ,0,,
برونو حق بَلَنتيات,0,,
"اللي محيرني أن اليونايتد عندهم أسماء ثقيله
لكن قاعدين يقدمون مستويات سيئه جدا",0,,
لا لا ياجلوري الدقيقه ٧٢٠ المفروض ماتقولها,0,,
والله لو مكانك لغيرت الفريق على طول,0,,
عزيزي المتابع انظر الى سوء المنقلب,0,,
وآرلند مو انجليزي,0,,
الذي يضحك يلحق ضحكتو على برشلونة حاكم البرد من توتانهام واستون فيلا على ليفر,0,,
القمم ي دب,1,2,1
ابلع ه بس انا احبك الافيو,1,1,1
ابلع ه تضكر تضحك عل برشلونة لان خسرانين ثمانية ثنين وانا برشلوني والحين اضحك عليك,1,1,1
"جلوري بداية المقطع 

نهاية المقطع",0,,
"جلوري ف الشوط التاني ياشباب والله كبرتو الموضوع
كلاحظه انا منشستراوي بس فرق زق",0,,
وهنا تعرف انه مورينيو كان على حق لما قام بتصريحات قوية وتقاتل مع الادارة كان يظغط عليهم علشان يجيبون لعيبة فطردوه,0,,
القم انت و مو فريقك لان احب اليونايتيد والله فرحان فيك انت باذات ومبسوط بالقهر إلى انت فيه علشان تبقى تتكلم على أفضل لاعب ف التاريخ حلو تأنى,1,1,1
"انا مانشستراوي يوم شفت المباراة مع اخواني و ابوي بغيت اطلع الي في قلبي بس الحمدالله اني صبرت لين خلصت المباراة لازم يغيرون الفريق كلوا  استثناء  برونو و ڤانديبيك 

احبك و الله يعين  كل  مانشستراوي",0,,
نصيحه وطو الصوت,0,,
علي طول سته علي طول,0,,
ابلع بس ابلع,1,1,1
هاتو الي بعدو  بعدها اكل  الكم,1,1,1
الله يكون بعونك ي جلوري,0,,
والله صياح طرب,1,1,1
"هدا جزاء من يضحك على فرق اخرى تعاني داخليا 
فابلع ه",0,,
حبيبي ارنولد انقليزي,0,,
طيب السادس,0,,
٧١٨ ه ه ه ه,0,,
الله يعينك ويلعن اليونايتد ولله الي يصير في ميلان وبرشلونة اهون منكم بصراحة قطعت قلبيالحمدلله اني مدريديالريال عم اوروبا لحد يقول تحكيم سيبوا الغيره,1,2,1
الكم ٦ من عمك مورينيوو,1,1,1
ماغوير مايجيب شراب فان دايك,0,,
يا خيي سكوت طوشتنا خلينا نحضر,0,,
صياحك طرب,1,1,1
مقدرت استحمل ه متحمس كثير والله انا كمان تحمست اشوف ردك بالاخير ه بس مبدع بتوفيق,0,,
مت يا عيال,1,1,1
"الله يعينك بس، انا اصلا ما توقعتك تنزل رده فعلك على هذه المباراه",0,,
القم لاعاد تطقطق انت و فريقك التعبان,1,1,1
القم هاد جزاء الي يتخوث على الطلاب,1,1,1
جلوري بعد ما شاف نتيجة ليفربول,0,,
غير الفريق,0,,
ما عليه كافاني جا و راح يزبطهم,0,,
المقطع عباره عن يعيال الله يعينك على الفريق الزق,1,1,1
"بلعاني  
 عمبالي قا  لي زالجيريا لي يقولها",0,,
ياهو باقي السادس,0,,
"ملخص الحلقة  
ايش قايل لكم ؟",0,,
ياخي اترك تشجيع مانشستر هذا الفريق المعفن راح تموت من الحرقه,1,1,1
درب مانشستر يونايتد في,0,,
"والله تذكرت كلام فنجر يوم غادر كريستيانو، قال انا سعيد لمغادرته كسعادتي تحقيق بطولة الدوري، سيعانون كثيراً كثيراً بالفعل من بعدها المان يونايتد اختفى في الابطال، وفي السنوات الاخيرة حتى داخليا لم يحرز الا ٧ بطولات فقط في اخر ١١ سنة",0,,
ه استمر,0,,
احمد ربك ليفربول انهزموا ٧ من استون فيلا,0,,
اتمنى انك انبسطت على مباراه الليفر وعوضت الغبنه هذي,0,,
هذي نهاية تشجيع اليونايتد,0,,
اليونايتد نادي وضيع,1,1,1
"ليفربول عام  التعاقد مع فينالدوم بعد هبوط نيوكاستل
ليفربول عام  التعاقد مع روبرتسن بعد هبوط هول سيتي
ليفربول عام التعاقد مع شاكيري بعد هبوط ستوك سيتي
ليفربول عام  التعاقد مع راشفورد بعد هبوط مانشستر يونايتد",0,,
يا غلوغي   لاعب إنجليزي في التشكيلة الأساسية مع ليفربول,0,,
ابلع يا كلوري كنت تضحك ع برشلونة ع نتيجة,1,1,1
شجع البايرن وفك نفسك,0,,
في الكساندر ارنولد انجليزي في ليفربول واساسي وافضل ظهير بالعالم حاليا  معليش فريقك مايساعد,0,,
لا إله إلا أنت سبحانك إني كنت من الظالمين,0,,
طيب كان شفت السادس,0,,
ياشباب أيش الموقع إلى يستخدموا جلوري منشان يحضر المباراة أرجوك قولولي,0,,
الله يسعدك,0,,
اني كنت شايف المباراة واضحك انتضر الحلقه تنزل ومتت ضحك لان قلت مجاين نلعب ونتو نضحك عليكم,0,,
تقصد او مسي ضيع يا,0,,
ه انضغط الف نعنبو لايكم يولد,0,,
اقول القم بس ه,1,1,1
أكلنا كنادر,0,,
"ليفربول   استون فيلا  
تعديل  اسكتوا يامشجعين اليفرز",0,,
جلوري من عرفته وهو م يقدر يكمل مقطع اذا انجلد فريقه ه,0,,
اعصابك يجلوري,0,,
ارنولد يعيط في الزاوية,0,,
كيف مورينهو الذي قلت عليه مترجم؟,0,,
طاعون المان يونايتد,0,,
في  مت,0,,
هياط ١٥٥ وبعدين ٦ ابلع,0,,
و احبك والله احبك,0,,
ابلع عجل تضحك علينه ها ابلع,1,1,1
لاعد اشوفك تقول مترجم مورينيو عمك و ابلع بدون زعل,0,,
رسميا خسارة ليفربول ب ضد أستون فيلا,0,,
جلطني اليونايتد والله,0,,
حسيت بسمار لميسي,0,,
المشكلة ما اقدر أتكلم لان انا مشجع ليفربول واكلنا  بس عادي لان برشلونه اكلت  ومدريد اكلت  والستياكلت  اليونايتد اكلت,0,,
مستوى مستوى,0,,
"ولله إني كنت راح أبكي عليك في بداية ألمبارات خصوصا ضحكتم و فرحتك لي تحولت إلى بكاء 


هات لي بعدو هات",0,,
فايكنها سب في مورينهو في الاخير جا في ملعبك و عطاك سته بفريقك المنتهي البلا من فريقك موب من الداهيه,0,,
أومال أحنا اللي شلناها ٧ من أستون,0,,
ابشرك في هدف سادس,0,,
جلوري هات البعدو  جلوري اخر المبارة لا تجيبو حدا تكفون يعيال,0,,
والله ياجلور انا اسف اخطيء من نادي البيض مانشستر يونايتد والله فريق زفت صفر فريق عربي يفوز عليه اقسم بلله,1,1,1
وفرحان اووي مايدري رح ينجلدون بعد البلنتي,0,,
من بارحه قلت الله يعين حلوري وشنب,0,,
ليفربول انهزمو,0,,
بالعكس والله برونو لعيب,0,,
ماعندنا لعب,0,,
يا أسطورة,0,,
ارنلد انجليزي,0,,
الشاشه مو واضحه وهبيتلك غير اعجاب بل الفيديو,0,,
توتنهام يدوس على الكبار مثل اليونايتد,0,,
نبي مباراة ليفربول,0,,
"لمن شفت المباراة قلت لاخوي جلوري راح ينزل فديو بالراحة

حسان قطب يسلم عليك",0,,
احلى حاجه فان دايك كان رخيص وصار افضل لاعب في أوروبا وماقوير أغلى مدافع صار اعفن لاعب,1,1,1
بق بق بقبقيق انتو الجاج ونحن الديك,0,,
اعتزل مؤقت يارجال احسلك تحرق اعصابك على الفاضي ركز على فيفا احسن نبي فيفا فيفا وبس,0,,
أيها المدريدية احمدوا الله على نعمة بيريز و زيدان,0,,
الله يعننا حنا المنشستراويه,0,,
"سلام عليكم، خواني انه محمد من العراق، 
يتيم وعندي خواني  حلمي،ان افرحهم ابكله او ملبس الهم


حلمي ان توصلوني  مشترك هوة فقط تشترك",0,,
عيل حد يشجع مانشستر يونايتد,0,,
وليفربول خسر ٧ مني مصدق قاعد اشوف النتيجه قدامي الله يحرقك يا ادريان والدفاع,0,,
قررت بعون من الله اني افتح قناة محتوى قصص جميله وقصيرة وفي نهايتها توجد عبره وفائدة أتمنى أن تشوف القناة إذا عجبتكم القناة اشتراك اسف على الازعاج,0,,
يعمي فان دايك بلع,1,1,1
اعتزل تشجيع المان يونايتد احسلك,0,,
جاء تيليس بعد طول انتظار,0,,
جلوري يوم تسب حط طوط عشان الصغار بي السن,0,,
تضحك ع برشلونه اقل حاجة برشلونه لقم من البايرن انت لقمت من كوكي,0,,
هاتو الي بعدو  ولقم ٦,1,1,1
"اللهم صل وسلم على نبينا محمد 

سبحان الله وبحمده سبحان الله العظيم",0,,
ياهوه لعبه ما توصل تلعن امه   ترى ترجع لأمك,0,,
هدي ياجلوري ماعلى ادري ان الفريق معفن بس والله مادري وش اقول,0,,
يشجع اليونايتد ويتكلم عن العييبه الي مضيعين بلنتيات الله يلدنيا,0,,
ارنولد  ساخبر الله بكل شي,0,,
اسمع لا تشوف المباريات شوف بعد المباريات بس النتيجيه حتى اذا امكن لا تشوف الاهداف شوف بس النتيجه,0,,
اقول اسكت ترى غثيتنا والقم ٦ هياط,1,1,1
ه احسن  علشان لاتضحك علا برشلونه  ضد بايرن,0,,
الحمدالله على نعمة ارسنال,0,,
أبو راس مربع من اول المقطع,1,1,1
يبوي صدقني بتجيك كل الامراض إذا بقيت متعصب كذا ترى لسه الموسم في بدايتوا,0,,
الله يساعدك على اليونايتد,0,,
بداية المباراة  بكر تندم يا جميل,0,,
ابلع ابلع ابلع ابلع يا ضربات الجزاء ابلع خلي برونو ينفعك,1,1,1
ولله مسخرا,1,1,1
سبحان الله وبحمده سبحان الله العظيم,0,,
كل واحد يكتب افضل موقع بث مباشر للمباريات علشان الكل يستفيد,0,,
اللهم صلي وسلم على نبينا محمد وعلى آله وصحبه أجمعين,0,,
"الله عليكم يا عيال كفو   
    الله يحرقكم يا عيال",0,,
ابلع انت و ديدك,1,2,1
وضع الاهلي السنه ذي,0,,
ه ما ضحكني الا ردة فعل قلوري في الدقيقة ٢ فرحه ما تمت,0,,
"يا حبيب اخوك اقولك جمله بس لا تزعل منى 
زمن المان يونايتد انتهى مع الجيل الذهبي 
اه انت مشجع وفريقك 
بس لا تزعل نفسك لان ادراه الفريق زباله ولاعبين لا يستحقون وجودهم",0,,
فان دايك اللي تقول عنه احسن من ماغوير لقم ٧ من فيلا,1,1,1
كل يوم يمشي اسأل نفسي من بين كل اندية العالم ايش اللي خلاني اشجع الفريق ذا,0,,
ابلع يل فاشل نعرف بس ضربات جزاء ابلع,1,1,1
اعجبتني يا ابو راس مربع,1,1,1
حطوهم في الخلاط وخلطوهم,1,1,1
هد هد يبوي لاتلعن  طرد من رحمة الله,0,,
ايش الموقع اللي تتفرج منه؟؟,0,,
والله قلت ان جلوري عنده عين قال برشلونة مرشحين ياحذون ابطال خسر ٤ وقال سواريز محضوضين بيه برشلونة وقال على شتيغن بلع ٨ كال على الستي بلع ٥ قال في القرعة ليفربول فريق قوي خسر من ارسنال قال على فاندايك افضل مدافع في هذا المقطع لقم ٧ ياخي اسكت اسكت او اكلك كول بايرين افضل فريق في العالم بس ارجوك وبعدها وكف,0,,
لا لتعصب,0,,
كفو من ابطال الفخامه تونهام,0,,
والله اني معاك يا جلوري في نقطة اللاعبين الانجليز الاندية الانجليزية للامانه لم تنجح الا بالاجانب خاصة فترة الالفيات وهذا اللي خلاهم اقوى دوري بالعالم وكل نجومهم اجانب مافي نجوم  من الانجليز في انديتهم الا بالاندية الوسطية مثل ليستر وافرتون باستثناء جيرالد وروني ولامبارد وبيكهام واوين وحاليا رحيم وهاري كين وكم من لاعب اللي اثبتوا وجودهم مع الاندية الكبار اذا احتسبنا السيتي وتوتنهام من الكبار,0,,
كيف تدين تدان,0,,
غير فريق,0,,
احمد ربك ياجلوري ماشجعت النصر,0,,
ابلع ابلع ابلع جاي تضحك على برشلونه ٨ من بايرن ابلع ٦ من مورينيو,1,1,1
يخي انا اقدر عشقك لليونايتد بس لا تصور لليونايتد مرا ثانية والله اعذرني بس اي مبارة تصورها نخسر حتى يوم صورت مباراة كريستال بالاس خسرنا والي هو يعتبر فريق اقل من متوسط,0,,
طيب ليفر بول بلع,1,1,1
صار هات اللي بعدو,0,,
اش كلتلكم اش كلتلكم,0,,
ضل ابجي ضل,0,,
ياخي واله متعه,0,,
اول دقيقتين اي احنا نجيب بلنتيات شي عادي القم ياشيخ آخر المقطع انا اتعذر منكم حلقي يوجعني هاي,1,1,1
اليونايتد يباله تغير ايداره,0,,
نادي الضحك,0,,
ه المفروض بعد متشجعهم عبالك فريق محلي,0,,
"وفي لليلة البدراء يفتقد الظلماء  

لينكارد",0,,
سوي ردة فعل على ليفربول و استون فيلا,0,,
بينالتي من البداية ه,0,,
صدمة كبيرة,0,,
معليش لحقناكم ليفربول احنا,0,,
حلو الهياط الي في البدايه,0,,
اللهم صلي و سلم و بارك على سيدنا محمد و على آله و صحبه أجمعين,0,,
"جلوري
  
جلوري",0,,
"عاد كنت أبي اشوف ردة فعلك على نظرة مورينيو ف آخر المباراة بعد السداسية ، بس شفنا اشياء اقوى ه
هاردلك للشياطين الحمر ، ومبروك للدُوجاج",0,,
الله يعينك,0,,
ما امدا يفرح الا اجا الرد,0,,
هات الي بعدو هاا,0,,
"ليفربول فيه ارنولد وفيه قوميز و هاندرسون انجليز 
بس اتفق معك انه يونايتد المخربه الانجليز",0,,
"جلوري في المقطع 
٩٠٪؜ قايلكم ان بنخسر 
٩٪؜ يا معفن يا دفاع 
١٪؜ ايه احنا نسجل بلنتيات",0,,
جلوري لاهنت نزل عن اديسون كافاني لاانه رسميا لاعب ل مان يونايتد,0,,
الحمد لله جبنا اليكس تيليس وجبنا كافاني وجبنا اماد تراوري والله اداردتنا والرئيس كانو زبالة الحمد لله جبنا صفقات تلحقنا من الفضايخ,0,,
ه الله يسعدك مثل ما أسعدتنا,0,,
اذا برشلونة لقم ٨ توقع اي شي يصير بكورة القدم,0,,
"تذكر يوم تضحك على برشلونه في مباراة البايرن  
يمهل ولا يهمل  ذق الي ذقناه",0,,
اهلا اخوي عبدالعزيز والله الفريق امعفن الحقيقة اين مانشستر يونايتد سكولز و غيغز و روني و كرستيانو و ويتيش و فردينالد للأسف الفريق مرة فضيحة الأدارة فضيحة يا اخي,0,,
"رسميًا مانشستر يونايتد يتعاقد مع كافاني
مبروك",0,,
انا كمان صارلي نفس الشيء في الموسم الماضي في برشلونة,0,,
ليفربول خسر من استون فيلا ولك استون فيلا بايرن ميونخ,0,,
بموت وين طوط,0,,
افضل من ٧,0,,
هات اللي بعدو,0,,
جلوري سوي ردة فعل على مباراة استون فيلا و ليفربول,0,,
"بس اليونايتد بعد المقطع تاعك 
جاب كافاني ، وتيليس",0,,
بدايه المقطع الي بعدو بعد الخامس وش قايل لكم انا ه,0,,
وين مشجعين السبيشل ون السبيرز توتنهام انا من  اشجعهم,0,,
ولا تزعل عزوز  اليونايتد تعاقد مع كافاني,0,,
الهلال يفوز على اليونايتد,0,,
اليونايتد صاير فريق حق الضحك,0,,
خلوطهم خلط لليونايتد,1,1,1
صار رده فعلك على الهوا مو باين شي,0,,
ابلع بس أنت وفريقك,1,1,1
نادي وضيع ما عنده الا بلنتيات نادي البلنتيات ومع ذالك مورينهو اهانك وذلك واغتصبك,1,1,1
"ابلع الاول يا شيخ 
الله لا يحطني مكانك",1,1,1
"المقطع عبارة عن  ايش قايل لكم ايش قولت لكم ايش قايلكم ايش قولت لكم ايش قايل لكم اي قلت لكم
ايش قايل لكم ايش قُلت لكم",0,,
مبروك على صفقة كفاني و تيلس,0,,
نادي صغير في ارضك يشخلك توتنهام  للمره الثانيه تلقمها بعد ما لقمتها في  وفي حضور اسطورتك من جلادك وكبيرك السيتي بنفس النتيجه للوضاعه عنوانه صغير مانشستر,1,1,1
يا خي بموت جلوريمن كثر ما تسب,0,,
اليونايتد افضل فريق في عام  كان افضل فريق في ذاك الوقت اليونايتد اسوء فريق في عام  السوء والله زمان يبجي,0,,
حزني يا ناس لاكن القم,1,1,1
و ارنولد و جوميز,0,,
حزنت يوم شفت الابتسامه ف الهدف الاول,0,,
هل تعلم ان ليفربول خسر امام استون فيلا,0,,
جلوري ياخي ما نشوف شي كذا,0,,
كثر من ردات الفعل الله يخليك,0,,
شجع البايرن,0,,
ألعاب فيصل الجاماعان,0,,
جلوري رح ينحف بسبب اليونايتد,0,,
القموا بس قاعد تطقطق على البرشا القموا ياخي اخيرا ي شيخ ٦٧٦,1,1,1
والله تكسر الخاطر يـجلوري,0,,
القم امزح امزح,1,1,1
وش فيه إعلان علئ برونو,0,,
هندرسون      ارنولد جوميز,0,,
مورينيو المجد,0,,
طيب لا تلعن ع الاقل حط طوط ولا صرف لك اي صرفه,0,,
ابشرك خسروا  ليفربول,0,,
باريس وتمسح بمانشستر يونايتد الارض اصبر ويش بيسوي نيمار فيكم,0,,
"جلوري مافيه انقليز بليفربول غير هندرسون 
ارنولد بالزاويه يبكي والله انقليزي انا تكفى",0,,
هذا كلو عشان هياطك في البدايه اجل لعيبتكم يعرفون يشوتون بلنتيات  هارد لك يابطل,0,,
شجعت ريال مدريد تكفا,0,,
والله ياقعدت اضحك ضحك,0,,
ه انا ميت من الضحك الفيديو كله  ويقلك احنا نسجل ركلات جزاء وهات اللي بعده ه  ابلع ي يشيخ,0,,
شجع نادي ثاني قبل لاتموت من القرف,0,,
ياخي والله مسكين اول المباراة,0,,
مبروك عليكم لسبب مجيء الي و كفاني رسميا ليونايتد,0,,
"خسرتو من توتنهام  فضيحة 
ليفربول  استون فيلا 
 
مانشستر سيتي  ليستر سيتي 
 
فشلتونا فضيحة",0,,
مانشستر يونايتد ما يصير بيهم حظ إلا اذا راح سولشاير,0,,
غيرك من استون فيلا وزود هدف,0,,
"احب اشوفك معصب ماني عارف ليه
ه",0,,
الفيديو عبارة عن قايلكم يا جماعة,0,,
"الدقيقه الأولى يعيني عليكم ابلع الاول 
الدقيقة  الله يلعن كذا فريق 
نعم انت في خضرت اليونايتد",1,1,1
يقول ليفر بول احسن فريق والبارحة بالع ٧,0,,
غير فريقك ولا بتموت شجع فريق كل سنه بطوله مثل خلال احسلك وربي,0,,
جلوري اذا سبيت حط طوط,0,,
مالاحظتو انو النتائج المذلة هذا العام كلها الشوط الاول انتهت  صدفة ه برشلونة  ومانشستر و ليفربول,0,,
طيب لاتسب,0,,
جلوري سوي مقطع عن صفقات اليونايتيد اليكس تيليس وادينسون كافاني وامادو ديالو تراوري جناح اتالانتا,0,,
قتلني يوم سب رئيس,0,,
من هنا بدأت الكارثة,0,,
امال برشلونة خسرت من بايرن  نعمل ايه,0,,
ابلع بس,1,1,1
عندهم أرنولد و قوميز,0,,
